city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,5
sj,2008,20,9
sj,2008,21,20
sj,2008,22,12
sj,2008,23,10
sj,2008,24,13
sj,2008,25,28
sj,2008,26,15
sj,2008,27,16
sj,2008,28,20
sj,2008,29,50
sj,2008,30,48
sj,2008,31,36
sj,2008,32,24
sj,2008,33,38
sj,2008,34,22
sj,2008,35,44
sj,2008,36,128
sj,2008,37,28
sj,2008,38,72
sj,2008,39,65
sj,2008,40,45
sj,2008,41,48
sj,2008,42,74
sj,2008,43,56
sj,2008,44,62
sj,2008,45,35
sj,2008,46,60
sj,2008,47,31
sj,2008,48,34
sj,2008,49,29
sj,2008,50,19
sj,2008,51,41
sj,2008,52,17
sj,2009,1,39
sj,2009,2,19
sj,2009,3,33
sj,2009,4,42
sj,2009,5,49
sj,2009,6,29
sj,2009,7,25
sj,2009,8,22
sj,2009,9,110
sj,2009,10,10
sj,2009,11,13
sj,2009,12,9
sj,2009,13,11
sj,2009,14,10
sj,2009,15,6
sj,2009,16,10
sj,2009,17,10
sj,2009,18,9
sj,2009,19,9
sj,2009,20,14
sj,2009,21,9
sj,2009,22,26
sj,2009,23,9
sj,2009,24,26
sj,2009,25,32
sj,2009,26,9
sj,2009,27,47
sj,2009,28,15
sj,2009,29,24
sj,2009,30,45
sj,2009,31,64
sj,2009,32,35
sj,2009,33,42
sj,2009,34,43
sj,2009,35,36
sj,2009,36,66
sj,2009,37,22
sj,2009,38,21
sj,2009,39,41
sj,2009,40,139
sj,2009,41,143
sj,2009,42,67
sj,2009,43,52
sj,2009,44,76
sj,2009,45,37
sj,2009,46,26
sj,2009,47,49
sj,2009,48,38
sj,2009,49,41
sj,2009,50,40
sj,2009,51,24
sj,2009,52,40
sj,2010,1,58
sj,2010,1,49
sj,2010,2,26
sj,2010,3,74
sj,2010,4,30
sj,2010,5,22
sj,2010,6,28
sj,2010,7,26
sj,2010,8,29
sj,2010,9,11
sj,2010,10,19
sj,2010,11,14
sj,2010,12,27
sj,2010,13,38
sj,2010,14,15
sj,2010,15,7
sj,2010,16,14
sj,2010,17,24
sj,2010,18,26
sj,2010,19,11
sj,2010,20,22
sj,2010,21,14
sj,2010,22,105
sj,2010,23,43
sj,2010,24,50
sj,2010,25,73
sj,2010,26,79
sj,2010,27,73
sj,2010,28,59
sj,2010,29,74
sj,2010,30,66
sj,2010,31,56
sj,2010,32,106
sj,2010,33,41
sj,2010,34,84
sj,2010,35,24
sj,2010,36,28
sj,2010,37,90
sj,2010,38,62
sj,2010,39,34
sj,2010,40,48
sj,2010,41,23
sj,2010,42,74
sj,2010,43,50
sj,2010,44,41
sj,2010,45,56
sj,2010,46,83
sj,2010,47,48
sj,2010,48,34
sj,2010,49,100
sj,2010,50,31
sj,2010,51,15
sj,2011,52,48
sj,2011,1,25
sj,2011,2,39
sj,2011,3,41
sj,2011,4,27
sj,2011,5,16
sj,2011,6,14
sj,2011,7,12
sj,2011,8,17
